,College Name,Location,Accreditation,CD Rank,Courses,B.sc Fees,Review,Rating,URL
45,"Thiagarajar College, Madurai"," Madurai, Tamil Nadu",Null,#46,B.Sc,"₹ 40,000",42,3,/college/5147-thiagarajar-college-madurai
46,"Sacred Heart College - [SHC], Ernakulam"," Ernakulam, Kerala",AICTE Approved,#47,B.Sc,"₹ 62,379",88,4,/college/3981-sacred-heart-college-shc-ernakulam
47,"Rajagiri College of Social Sciences - [RCSS], Kochi"," Kochi, Kerala","AICTE, UGC, AIU Approved",#48,B.Sc,"₹ 24,251",113,4,/college/10872-rajagiri-college-of-social-sciences-rcss-kochi
48,"Nizam College, Hyderabad"," Hyderabad, Telangana",AICTE Approved,#49,B.Sc,"₹ 15,600",100,4,/college/3268-nizam-college-hyderabad
49,"Daulat Ram College - [DRC], New Delhi"," New Delhi, Delhi NCR",UGC Approved,#50,B.Sc (Hons.) Chemistry,"₹ 36,750",266,4,/college/973-daulat-ram-college-drc-new-delhi
50,"Maitreyi College, New Delhi"," New Delhi, Delhi NCR",Null,#51,B.Sc Physical Science with Chemistry,"₹ 16,665",156,3,/college/2849-maitreyi-college-new-delhi
51,"B.K Birla College Of Arts Science & Commerce, Thane"," Thane, Maharashtra",UGC Approved,#52,B.Sc,"₹ 5,970",84,3,/college/656-bk-birla-college-of-arts-science-and-commerce-thane
52,"St. Joseph's College, Tiruchirappalli"," Tiruchirappalli, Tamil Nadu",UGC Approved,#53,B.Sc,"₹ 8,930",59,4,/college/46113-st-josephs-college-tiruchirappalli
53,"Jai Hind College - [JHC], Mumbai"," Mumbai, Maharashtra",UGC Approved,#54,B.Sc,"₹ 11,720",199,4,/college/2100-jai-hind-college-jhc-mumbai
54,"Kishinchand Chellaram College - [KC College], Mumbai"," Mumbai, Maharashtra",Null,#55,B.Sc,"₹ 10,735",104,4,/college/2216-kishinchand-chellaram-college-kc-college-mumbai
55,"Loyola Academy Degree and PG College, Secunderabad"," Secunderabad, Telangana",UGC Approved,#56,B.Sc,"₹ 34,000",135,4,/college/2594-loyola-academy-degree-and-pg-college-secunderabad
56,"Queen Mary's College, Chennai"," Chennai, Tamil Nadu",Null,#57,B.Sc,"₹ 2,131",38,4,/college/3524-queen-marys-college-chennai
57,"Shyam Lal College - [SLC], New Delhi"," New Delhi, Delhi NCR",UGC Approved,#58,B.Sc (Hons.) Chemistry,"₹ 29,700",263,3,/college/58354-shyam-lal-college-slc-new-delhi
58,"Lady Brabourne College - [LBC], Kolkata"," Kolkata, West Bengal",UGC Approved,#59,B.Sc,"₹ 4,416",37,3,/college/2522-lady-brabourne-college-lbc-kolkata
59,"Rajiv Gandhi Institute of Information Technology and Biotechnology - [RGITBT], Pune"," Pune, Maharashtra",UGC Approved,#60,B.Sc,"₹ 84,000",11,4,/college/57106-rajiv-gandhi-institute-of-information-technology-and-biotechnology-rgitbt-pune
60,"Kamala Nehru College - [KNC], New Delhi"," New Delhi, Delhi NCR",Null,#61,B.Sc,"₹ 15,850",140,4,/college/2312-kamala-nehru-college-knc-new-delhi
61,"Bishop Heber College - [BHC], Tiruchirappalli"," Tiruchirappalli, Tamil Nadu",UGC Approved,#62,B.Sc,"₹ 84,000",104,4,/college/667-bishop-heber-college-bhc-tiruchirappalli
62,"Sophia College for Women, Mumbai"," Mumbai, Maharashtra",AICTE Approved,#63,B.Sc,"₹ 47,340",36,4,/college/4639-sophia-college-for-women-mumbai
63,"St. Aloysius College, Mangalore"," Mangalore, Karnataka",Null,#64,B.Sc,"₹ 44,000",195,3,/university/58399-st-aloysius-college-mangalore
64,"Andhra Loyola College - [ALC], Vijayawada"," Vijayawada, Andhra Pradesh","AICTE, UGC Approved",#65,B.Sc,--,128,3,/college/226-andhra-loyola-college-alc-vijayawada
65,"Indraprastha College for Women - [IP], New Delhi"," New Delhi, Delhi NCR",AICTE Approved,#66,B.Sc (Hons.) Computer Science,"₹ 50,625",138,3,/college/1999-indraprastha-college-for-women-ip-new-delhi
66,"Mehr Chand Mahajan Dayanand Anglo Vedic College for Women - [MCM DAV], Chandigarh"," Chandigarh, Chandigarh",Null,#67,B.Sc,"₹ 43,016",202,4,/college/2976-mehr-chand-mahajan-dayanand-anglo-vedic-college-for-women-mcm-dav-chandigarh
67,"Government College for Women, Thiruvananthapuram"," Thiruvananthapuram, Kerala",Null,#68,B.Sc,--,17,3,/college/1706-government-college-for-women-thiruvananthapuram
68,"Maharaja Agrasen College - [MAC], New Delhi"," New Delhi, Delhi NCR",Null,#69,B.Sc (Hons.) Electronics,"₹ 19,890",195,3,/college/2734-maharaja-agrasen-college-mac-new-delhi
69,"Jyoti Nivas College - [JNC], Bangalore"," Bangalore, Karnataka","AICTE, UGC Approved",#70,B.Sc,--,44,4,/college/2209-jyoti-nivas-college-jnc-bangalore
70,"The Oxford College of Science - [TOCS], Bangalore"," Bangalore, Karnataka",Null,#71,B.Sc,"₹ 1,80,000",74,3,/college/6988-the-oxford-college-of-science-tocs-bangalore
71,"Bethune College, Kolkata"," Kolkata, West Bengal",UGC Approved,#72,B.Sc,"₹ 4,582",75,4,/college/556-bethune-college-kolkata
72,"Ayya Nadar Janaki Ammal College - [ANJA], Sivakasi"," Sivakasi, Tamil Nadu",UGC Approved,#73,B.Sc,"₹ 20,525",25,4,/college/345-ayya-nadar-janaki-ammal-college-anja-sivakasi
73,"Kongunadu Arts and Science College, Coimbatore"," Coimbatore, Tamil Nadu",UGC Approved,#74,B.Sc,"₹ 3,594",29,3,/college/2463-kongunadu-arts-and-science-college-coimbatore
74,"Scottish Church College, Kolkata"," Kolkata, West Bengal",Null,#75,B.Sc,"₹ 20,994",96,3,/college/4151-scottish-church-college-kolkata
75,"St Ann's College for Women, Hyderabad"," Hyderabad, Telangana",AICTE Approved,#76,B.Sc,"₹ 14,000",42,4,/college/4898-st-anns-college-for-women-hyderabad
76,"M.O.P. Vaishnav College for Women, Chennai"," Chennai, Tamil Nadu",Null,#77,B.Sc,"₹ 19,900",42,4,/college/2651-mop-vaishnav-college-for-women-chennai
77,"Post Graduate Government College, Chandigarh"," Chandigarh, Chandigarh",AICTE Approved,#78,B.Sc,"₹ 21,967",125,3,/college/3437-post-graduate-government-college-chandigarh
78,"Shivaji College, New Delhi"," New Delhi, Delhi NCR",Null,#79,B.Sc Physical Science with Chemistry,"₹ 21,970",205,3,/college/4254-shivaji-college-new-delhi
79,"St Thomas' College, Thrissur"," Thrissur, Kerala",MCI Approved,#80,B.Sc,"₹ 7,950",71,4,/college/4959-st-thomas-college-thrissur
80,"St. Albert's College, Ernakulam"," Ernakulam, Kerala",Null,#81,B.Sc,"₹ 37,500",114,3,/college/4891-st-alberts-college-ernakulam
81,"CMS College of Science and Commerce, Coimbatore"," Coimbatore, Tamil Nadu","AICTE, UGC Approved",#82,B.Sc,"₹ 36,000",48,4,/college/15681-cms-college-of-science-and-commerce-coimbatore
82,"Sri Krishna Arts and Science College, Coimbatore"," Coimbatore, Tamil Nadu",Null,#83,B.Sc,"₹ 4,00,000",136,4,/college/16302-sri-krishna-arts-and-science-college-coimbatore
83,"Jamal Mohamed College - [JMC], Tiruchirappalli"," Tiruchirappalli, Tamil Nadu",AICTE Approved,#84,B.Sc,"₹ 42,000",62,4,/college/2114-jamal-mohamed-college-jmc-tiruchirappalli
84,"Sri Ramakrishna Mission Vidyalaya College of Arts and Science, Coimbatore"," Coimbatore, Tamil Nadu",Null,#85,B.Sc,"₹ 7,300",15,4,/college/55660-sri-ramakrishna-mission-vidyalaya-college-of-arts-and-science-coimbatore
85,"Sri Ramakrishna College of Arts and Science - [SRCAS], Coimbatore"," Coimbatore, Tamil Nadu",AICTE Approved,#86,B.Sc,"₹ 92,000",178,4,/college/55537-sri-ramakrishna-college-of-arts-and-science-srcas-coimbatore
86,"NMKRV College for Women, Bangalore"," Bangalore, Karnataka",UGC Approved,#87,B.Sc,"₹ 1,20,000",17,4,/college/3099-nmkrv-college-for-women-bangalore
87,"Virudhunagar Hindu Nadar's Senthikumara Nadar College - [VHNSNC], Virudhunagar"," Virudhunagar, Tamil Nadu",AICTE Approved,#88,B.Sc,"₹ 17,695",29,4,/college/5363-virudhunagar-hindu-nadars-senthikumara-nadar-college-vhnsnc-virudhunagar
88,"St. Berchmans College - [SBC], Kottayam"," Kottayam, Kerala",UGC Approved,#89,B.Sc,"₹ 9,547",66,4,/college/59734-st-berchmans-college-sbc-kottayam
89,"St Teresa's College (Autonomous), Ernakulam"," Ernakulam, Kerala",Null,#90,B.Sc,"₹ 12,392",204,4,/college/4956-st-teresas-college-autonomous-ernakulam
90,"St Joseph's Degree and  PG College, Hyderabad"," Hyderabad, Telangana",Null,#91,B.Sc,"₹ 56,000",56,3,/college/16926-st-josephs-degree-and-pg-college-hyderabad
91,"Madras School of Social Work - [MSSW], Chennai"," Chennai, Tamil Nadu",Null,#92,B.Sc,"₹ 53,750",23,4,/college/18392-madras-school-of-social-work-mssw-chennai
92,"Silver Jubilee Government Degree College, Kurnool"," Kurnool, Andhra Pradesh",UGC Approved,#93,B.Sc,"₹ 9,000",21,4,/college/4522-silver-jubilee-government-degree-college-kurnool
93,"Dr. N.G.P. Arts and Science College - [DrNGPASC], Coimbatore"," Coimbatore, Tamil Nadu",Null,#94,B.Sc,"₹ 80,000",51,3,/college/1181-dr-ngp-arts-and-science-college-drngpasc-coimbatore
94,"Guru Nanak College, Chennai"," Chennai, Tamil Nadu",Null,#95,B.Sc,"₹ 26,351",123,4,/college/1780-guru-nanak-college-chennai
95,"IPS Academy, Indore"," Indore, Madhya Pradesh","NCTE, AICTE, COA, PCI, BCI Approved",#96,B.Sc,"₹ 37,250",398,3,/college/1995-ips-academy-indore
96,"Mahatma Gandhi College, Thiruvananthapuram"," Thiruvananthapuram, Kerala",AICTE Approved,#97,B.Sc,"₹ 67,500",22,4,/college/2802-mahatma-gandhi-college-thiruvananthapuram
97,"Government Arts College, Thiruvananthapuram"," Thiruvananthapuram, Kerala",UGC Approved,#98,B.Sc,--,6,3,/college/1460-government-arts-college-thiruvananthapuram
98,"Shaheed Sukhdev College of Business Studies - [SSCBS], New Delhi"," New Delhi, Delhi NCR",Null,#99,B.Sc (Hons.) Computer Science,"₹ 31,095",66,4,/college/18732-shaheed-sukhdev-college-of-business-studies-sscbs-new-delhi
99,"Farook College, Kozhikode"," Kozhikode, Kerala",Null,#100,B.Sc,"₹ 3,190",70,4,/college/1277-farook-college-kozhikode
100,"Government Home Science College, Chandigarh"," Chandigarh, Chandigarh",NCTE Approved,#101,B.Sc,"₹ 44,550",4,4,/college/1610-government-home-science-college-chandigarh
101,"Vellalar College for Women, Erode"," Erode, Tamil Nadu","AICTE, UGC Approved",#102,B.Sc,"₹ 2,124",48,4,/college/5301-vellalar-college-for-women-erode
102,"St. Xavier's College (Autonomous), Palayamkottai"," Palayamkottai, Tamil Nadu",UGC Approved,#103,B.Sc,"₹ 6,465",30,4,/college/57854-st-xaviers-college-autonomous-palayamkottai
103,"Keshav Mahavidyalaya, New Delhi"," New Delhi, Delhi NCR","UGC, MHRD Approved",#104,B.Sc (Hons.) Electronics,"₹ 12,280",151,4,/college/2403-keshav-mahavidyalaya-new-delhi
104,"Loreto College, Kolkata"," Kolkata, West Bengal",UGC Approved,#105,B.Sc,"₹ 36,040",130,4,/college/2591-loreto-college-kolkata
105,"V. O. Chidambaram College, Thoothukkudi"," Thoothukkudi, Tamil Nadu",UGC Approved,#106,B.Sc,"₹ 5,000",7,3,/college/57596-v-o-chidambaram-college-thoothukkudi
106,"Newman College, Thodupuzha"," Thodupuzha, Kerala",Null,#107,B.Sc,"₹ 3,265",18,3,/college/3242-newman-college-thodupuzha
107,"Lady Doak College, Madurai"," Madurai, Tamil Nadu",Null,#108,B.Sc,"₹ 65,760",38,4,/college/55599-lady-doak-college-madurai
108,"T.K.M. College of Arts and Science - [TKMCAS], Kollam"," Kollam, Kerala",Null,#109,B.Sc,"₹ 67,500",20,4,/college/5118-tkm-college-of-arts-and-science-tkmcas-kollam
109,"Dr. SNS Rajalakshmi College of Arts and Science, Coimbatore"," Coimbatore, Tamil Nadu","AICTE, UGC Approved",#110,B.Sc,"₹ 44,000",235,4,/college/1200-dr-sns-rajalakshmi-college-of-arts-and-science-coimbatore
110,"Women's Christian College - [WCC], Nagercoil"," Nagercoil, Tamil Nadu",Null,#111,B.Sc,"₹ 1,218",4,3,/college/55758-womens-christian-college-wcc-nagercoil
111,"St Joseph's College Devagiri, Calicut"," Calicut, Kerala",Null,#112,B.Sc,"₹ 57,000",50,4,/college/4924-st-josephs-college-devagiri-calicut
112,"Fatima Mata National College, Kollam"," Kollam, Kerala",Null,#113,B.Sc,"₹ 4,255",21,3,/college/1283-fatima-mata-national-college-kollam
113,"Alagappa Government Arts College - [AGAC], Sivaganga"," Sivaganga, Tamil Nadu",UGC Approved,#114,B.Sc,"₹ 3,700",7,4,/college/59958-alagappa-government-arts-college-agac-sivaganga
114,"Holy Cross College  (Autonomous), Tiruchirappalli"," Tiruchirappalli, Tamil Nadu",Null,#115,B.Sc,"₹ 28,980",36,4,/college/1921-holy-cross-college-autonomous-tiruchirappalli
115,"Sri Guru Gobind Singh College of Commerce, New Delhi"," New Delhi, Delhi NCR",Null,#116,B.Sc (Hons.) Computer Science,"₹ 46,500",135,4,/college/4742-sri-guru-gobind-singh-college-of-commerce-new-delhi
116,"Christ College Irinjalakuda, Thrissur"," Thrissur, Kerala",UGC Approved,#117,B.Sc,"₹ 71,700",97,4,/college/851-christ-college-irinjalakuda-thrissur
117,"Kalindi College, New Delhi"," New Delhi, Delhi NCR","AICTE, UGC Approved",#118,B.Sc (Hons.) Chemistry,"₹ 15,135",122,3,/college/2300-kalindi-college-new-delhi
118,"Anna Adarsh College for Women, Chennai"," Chennai, Tamil Nadu",Null,#119,B.Sc,--,48,4,/college/55421-anna-adarsh-college-for-women-chennai
119,"Justice Basheer Ahmed Sayeed  College For Women - [JBAS], Chennai"," Chennai, Tamil Nadu",Null,#120,B.Sc,₹ 710,48,4,/college/2207-justice-basheer-ahmed-sayeed-college-for-women-jbas-chennai
120,"Mar Thoma College, Tiruvalla"," Tiruvalla, Kerala",Null,#121,B.Sc,--,9,3,/college/2916-mar-thoma-college-tiruvalla
121,"Nirmalagiri College, Kannur"," Kannur, Kerala",UGC Approved,#122,B.Sc,"₹ 1,960",31,4,/college/3264-nirmalagiri-college-kannur
122,"Fatima College, Madurai"," Madurai, Tamil Nadu",AICTE Approved,#123,B.Sc,"₹ 26,506",34,4,/college/1281-fatima-college-madurai
123,"St Francis College for Women, Hyderabad"," Hyderabad, Telangana",UGC Approved,#124,B.Sc,"₹ 48,650",60,4,/college/4909-st-francis-college-for-women-hyderabad
124,"Meenakshi College for Women, Chennai"," Chennai, Tamil Nadu","AICTE, UGC Approved",#125,B.Sc,--,34,3,/college/2972-meenakshi-college-for-women-chennai
125,"Muthurangam Government Arts College - [MGAC], Vellore"," Vellore, Tamil Nadu",AICTE Approved,#126,B.Sc,"₹ 1,471",14,3,/college/57850-muthurangam-government-arts-college-mgac-vellore
126,"Goswami Ganesh Dutta Sanatan Dharma College - [GGDSD], Chandigarh"," Chandigarh, Chandigarh",Null,#127,B.Sc,"₹ 24,500",203,4,/college/15796-goswami-ganesh-dutta-sanatan-dharma-college-ggdsd-chandigarh
127,"Ramanujan college, New Delhi"," New Delhi, Delhi NCR",Null,#128,B.Sc (Hons.) Environmental Science,"₹ 25,000",189,4,/college/59179-ramanujan-college-new-delhi
128,"Kalinga University, Raipur"," Raipur, Chhattisgarh","NCTE, AICTE, PCI, BCI, UGC Approved",#129,B.Sc,"₹ 60,950",63,4,/university/57503-kalinga-university-raipur
129,"Synetic Business School - [SBS], Ludhiana"," Ludhiana, Punjab",Null,#130,B.Sc,"₹ 54,650",14,4,/college/59407-synetic-business-school-sbs-ludhiana
130,"Gujarat University, Ahmedabad"," Ahmedabad, Gujarat",UGC Approved,#131,B.Sc,"₹ 80,000",1520,3,/university/25491-gujarat-university-ahmedabad
131,"Silver Oak University, Ahmedabad"," Ahmedabad, Gujarat",AICTE Approved,#132,B.Sc,"₹ 35,000",357,3,/university/59895-silver-oak-university-ahmedabad
132,"GLS University, Ahmedabad"," Ahmedabad, Gujarat",UGC Approved,#133,B.Sc,"₹ 1,25,000",242,4,/university/55864-gls-university-ahmedabad
133,"Gujarat Vidyapith - [GVP], Ahmedabad"," Ahmedabad, Gujarat",Null,#134,B.Sc,"₹ 8,000",24,4,/university/25492-gujarat-vidyapith-gvp-ahmedabad
134,"Indus University, Ahmedabad"," Ahmedabad, Gujarat","AICTE, COA, UGC Approved",#135,B.Sc,"₹ 55,000",91,3,/university/25496-indus-university-ahmedabad
135,"Gujarat Technological University - [GTU], Ahmedabad"," Ahmedabad, Gujarat","PCI, NBA Approved",#136,B.Sc,"₹ 25,000",3146,3,/university/25490-gujarat-technological-university-gtu-ahmedabad
136,"Sabarmati University, Ahmedabad"," Ahmedabad, Gujarat","NCTE, PCI, BCI, UGC Approved",#137,B.Sc,"₹ 40,000",19,4,/university/54834-sabarmati-university-ahmedabad
137,"LJ University - [ LJU], Ahmedabad"," Ahmedabad, Gujarat","AICTE, BCI Approved",#138,B.Sc,"₹ 51,800",271,3,/university/60089-lj-university-lju-ahmedabad
138,"JG University, Ahmedabad"," Ahmedabad, Gujarat",UGC Approved,#139,B.Sc,"₹ 50,000",5,4,/university/62369-jg-university-ahmedabad
139,"Kaushalya The Skill University - [KSU], Ahmedabad"," Ahmedabad, Gujarat",Null,#140,B.Sc,"₹ 1,20,000",1,4,/university/63892-kaushalya-the-skill-university-ksu-ahmedabad
140,"SKIPS University, Ahmedabad"," Ahmedabad, Gujarat",AICTE Approved,#141,B.Sc,"₹ 7,25,400",1,4,/university/64634-skips-university-ahmedabad
141,"Mafatlal Gagalbhai Science Institute [MGSI], Ahmedabad"," Ahmedabad, Gujarat",UGC Approved,#142,B.Sc,--,28,4,/college/16689-mafatlal-gagalbhai-science-institute-mgsi-ahmedabad
142,"IIT Bombay - Indian Institute of Technology - [IITB], Mumbai"," Mumbai, Maharashtra","AICTE, UGC Approved",#143,B.Sc  + M.Sc Mathematics,"₹ 21,400",350,4,/university/25703-iit-bombay-indian-institute-of-technology-iitb-mumbai
143,"IIT Kharagpur - Indian Institute of Technology - [IITKGP], Kharagpur"," Kharagpur, West Bengal","AICTE, UGC, NBA Approved",#144,B.Sc,--,720,4,/university/26007-iit-kharagpur-indian-institute-of-technology-iitkgp-kharagpur
144,"Shailesh J. Mehta School of Management, IIT Bombay - [SJMSOM], Mumbai"," Mumbai, Maharashtra",AICTE Approved,#145,B.Sc,"₹ 7,13,100",27,4,/college/18735-shailesh-j-mehta-school-of-management-iit-bombay-sjmsom-mumbai
145,"All India Institute of Medical Sciences - [AIIMS], New Delhi"," New Delhi, Delhi NCR","MCI, UGC Approved",#146,B.Sc Dental Operating Room Assistant,"₹ 1,145",192,4,/university/25446-all-india-institute-of-medical-sciences-aiims-new-delhi
